wave21	wave20
-47.476	1471.1316
-43.357	1471.1711
-42.886	1471.2105
-42.884	1471.25
-43.308	1471.2895
-44.859	1471.3289
-49.284	1471.3684
-54.407	1471.4079
-62.759	1471.4474
-210	1471.4868
-61.579	1471.5263
-210	1471.5658
-63.643	1471.6053
-66.23999999999999	1471.6447
-58.435	1471.6842
-61.633	1471.7237
-58.436	1471.7632
-56.933	1471.8026
-50.843	1471.8421
-43.862	1471.8816
-42.57	1471.9211
-42.446	1471.9605
-42.45	1472
-43.302	1472.0395
-45.93	1472.0789
-51.724	1472.1184
-58.349	1472.1579
-61.84	1472.1974
-65.59	1472.2368
-60.968	1472.2763
-57.665	1472.3158
-210	1472.3553
-63.654	1472.3947
-76.259	1472.4342
-63.655	1472.4737
-54.602	1472.5132
-51.973	1472.5526
-44.818	1472.5921
-42.337	1472.6316
-42.04	1472.6711
-42.141	1472.7105
-42.807	1472.75
-45.216	1472.7895
-49.352	1472.8289
-55.645	1472.8684
-58.14	1472.9079
-69.953	1472.9474
-62.116	1472.9868
-210	1473.0263
-210	1473.0658
-62.863	1473.1053
-60.124	1473.1447
-61.253	1473.1842
-61.791	1473.2237
-52.69	1473.2632
-48.614	1473.3026
-43.075	1473.3421
-41.459	1473.3816
-41.28	1473.4211
-41.512	1473.4605
-42.755	1473.5
-45.964	1473.5395
-51.078	1473.5789
-56.376	1473.6184
-67.26300000000001	1473.6579
-59.27	1473.6974
-65.29300000000001	1473.7368
-64.536	1473.7763
-62.713	1473.8158
-71.437	1473.8553
-73.679	1473.8947
-60.94	1473.9342
-54.634	1473.9737
-51.923	1474.0132
-45.658	1474.0526
-41.963	1474.0921
-41.367	1474.1316
-41.285	1474.1711
-41.802	1474.2105
-43.891	1474.25
-47.941	1474.2895
-53.122	1474.3289
-58.81	1474.3684
-59.574	1474.4079
-60.273	1474.4474
-61.052	1474.4868
-61.746	1474.5263
-60.457	1474.5658
-60.359	1474.6053
-60.95	1474.6447
-56.024	1474.6842
-52.633	1474.7237
-48.38	1474.7632
-41.885	1474.8026
-40.344	1474.8421
-40.2	1474.8816
-40.444	1474.9211
-41.308	1474.9605
-44.148	1475
-49.673	1475.0395
-54.256	1475.0789
-56.151	1475.1184
-60.96	1475.1579
-60.069	1475.1974
-60.423	1475.2368
-210	1475.2763
-66.122	1475.3158
-61.517	1475.3553
-62.437	1475.3947
-53.75	1475.4342
-51.479	1475.4737
-45.938	1475.5132
-41.034	1475.5526
-40.446	1475.5921
-40.348	1475.6316
-40.746	1475.6711
-42.404	1475.7105
-46.569	1475.75
-51.438	1475.7895
-56.85	1475.8289
-58.681	1475.8684
-64.12	1475.9079
-78.605	1475.9474
-76.316	1475.9868
-59.53	1476.0263
-58.624	1476.0658
-59.457	1476.1053
-55.43	1476.1447
-52.42	1476.1842
-47.392	1476.2237
-40.877	1476.2632
-39.606	1476.3026
-39.466	1476.3421
-39.611	1476.3816
-40.511	1476.4211
-43.417	1476.4605
-49.264	1476.5
-53.375	1476.5395
-59.217	1476.5789
-71.58499999999999	1476.6184
-59.359	1476.6579
-60.057	1476.6974
-65.66500000000001	1476.7368
-210	1476.7763
-59.936	1476.8158
-59.223	1476.8553
-53.198	1476.8947
-50.943	1476.9342
-44.531	1476.9737
-40.333	1477.0132
-39.735	1477.0526
-39.668	1477.0921
-40.032	1477.1316
-41.965	1477.1711
-46.377	1477.2105
-51.622	1477.25
-58.836	1477.2895
-59.632	1477.3289
-58.744	1477.3684
-61.995	1477.4079
-59.991	1477.4474
-63.553	1477.4868
-64.374	1477.5263
-63.195	1477.5658
-55.047	1477.6053
-52.716	1477.6447
-48.136	1477.6842
-41.326	1477.7237
-39.322	1477.7632
-39.033	1477.8026
-39.079	1477.8421
-39.814	1477.8816
-42.521	1477.9211
-47.123	1477.9605
-52.244	1478
-57.129	1478.0395
-61.346	1478.0789
-58.551	1478.1184
-72.881	1478.1579
-210	1478.1974
-210	1478.2368
-60.352	1478.2763
-57.824	1478.3158
-54.326	1478.3553
-51.404	1478.3947
-46.618	1478.4342
-40.511	1478.4737
-39.151	1478.5132
-39.031	1478.5526
-39.252	1478.5921
-40.401	1478.6316
-43.267	1478.6711
-48.164	1478.7105
-52.742	1478.75
-56.939	1478.7895
-61.363	1478.8289
-59.2	1478.8684
-58.509	1478.9079
-65.28	1478.9474
-60.889	1478.9868
-68.098	1479.0263
-58.725	1479.0658
-52.658	1479.1053
-51.308	1479.1447
-45.954	1479.1842
-40.197	1479.2237
-38.785	1479.2632
-38.708	1479.3026
-39.059	1479.3421
-40.398	1479.3816
-43.753	1479.4211
-49.589	1479.4605
-53.71	1479.5
-55.946	1479.5395
-59.682	1479.5789
-60.426	1479.6184
-64.42100000000001	1479.6579
-57.122	1479.6974
-68.383	1479.7368
-61.437	1479.7763
-59.537	1479.8158
-52.002	1479.8553
-49.679	1479.8947
-42.636	1479.9342
-38.88	1479.9737
-38.4	1480.0132
-38.421	1480.0526
-38.933	1480.0921
-40.995	1480.1316
-45.174	1480.1711
-51.592	1480.2105
-54.094	1480.25
-60.009	1480.2895
-61.802	1480.3289
-63.803	1480.3684
-63.613	1480.4079
-58.807	1480.4474
-61.93	1480.4868
-65.90000000000001	1480.5263
-54.989	1480.5658
-51.135	1480.6053
-47.889	1480.6447
-40.603	1480.6842
-38.604	1480.7237
-38.389	1480.7632
-38.479	1480.8026
-39.106	1480.8421
-41.504	1480.8816
-46.716	1480.9211
-52.651	1480.9605
-58.346	1481
-57.228	1481.0395
-57.539	1481.0789
-59.146	1481.1184
-63.25	1481.1579
-63.531	1481.1974
-63.096	1481.2368
-56.612	1481.2763
